ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value,ID,Gene Symbol,Gene Title,Gene Ontology Biological Process,Gene Ontology Molecular Function
235978_at,11.621736973941177,3.9830139828365385,-7.638722991104638,2.9714922899543197e-25,6.461397517666008e-23,235978_at,FABP4,"fatty acid binding protein 4, adipocyte","0001816 // cytokine production // inferred from electronic annotation /// 0006469 // negative regulation of protein kinase activity // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0019433 // triglyceride catabolic process // traceable author statement /// 0042632 // cholesterol homeostasis // inferred from electronic annotation /// 0044281 // small molecule metabolic process // traceable author statement /// 0045892 // negative regulation of transcription, DNA-templated // inferred from electronic annotation /// 0050729 // positive regulation of inflammatory response // inferred from electronic annotation /// 0050872 // white fat cell differentiation // inferred from electronic annotation /// 0050873 // brown fat cell differentiation // inferred from electronic annotation /// 0071285 // cellular response to lithium ion // inferred from electronic annotation",0005215 // transporter activity // inferred from electronic annotation /// 0005504 // fatty acid binding // traceable author statement /// 0008289 // lipid binding // inferred from electronic annotation
207092_at,11.937041136764705,4.58317913710577,-7.353861999658935,4.580810722173201e-22,6.361732020495957e-20,207092_at,LEP,leptin,0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0001542 // ovulation from ovarian follicle // inferred from electronic annotation /// 0001666 // response to hypoxia // inferred from electronic annotation /// 0001819 // positive regulation of cytokine production // inferred from electronic annotation /// 0001890 // placenta development // inferred from direct assay /// 0001932 // regulation of protein phosphorylation // inferred from electronic annotation /// 0002021 // response to dietary excess // inferred from electronic annotation /// 0006006 // glucose metabolic process // inferred from electronic annotation /// 0006111 // regulation of gluconeogenesis // inferred from electronic annotation /// 0006112 // energy reserve metabolic process // inferred from electronic annotation /// 0006114 // glycerol biosynthetic process // inferred from electronic annotation /// 0006629 // lipid metabolic process // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0007260 // tyrosine phosphorylation of STAT protein // inferred from electronic annotation /// 0007565 // female pregnancy // inferred from electronic annotation /// 0007584 // response to nutrient // inferred from electronic annotation /// 0007623 // circadian rhythm // inferred from electronic annotation /// 0008203 // cholesterol metabolic process // inferred from electronic annotation /// 0008206 // bile acid metabolic process // inferred from electronic annotation /// 0008217 // regulation of blood pressure // inferred from electronic annotation /// 0008284 // positive regulation of cell proliferation // inferred from electronic annotation /// 0008343 // adult feeding behavior // inferred from sequence or structural similarity /// 0009062 // fatty acid catabolic process // inferred from electronic annotation /// 0009892 // negative regulation of metabolic process // inferred from electronic annotation /// 0019222 // regulation of metabolic process // inferred from electronic annotation /// 0021954 // central nervous system neuron development // inferred from electronic annotation /// 0030073 // insulin secretion // inferred from electronic annotation /// 0030300 // regulation of intestinal cholesterol absorption // inferred from electronic annotation /// 0032099 // negative regulation of appetite // inferred from sequence or structural similarity /// 0032868 // response to insulin // inferred from electronic annotation /// 0033197 // response to vitamin E // inferred from electronic annotation /// 0033210 // leptin-mediated signaling pathway // inferred from electronic annotation /// 0033686 // positive regulation of luteinizing hormone secretion // inferred from electronic annotation /// 0035630 // bone mineralization involved in bone maturation // inferred from electronic annotation /// 0042307 // positive regulation of protein import into nucleus // inferred from electronic annotation /// 0042445 // hormone metabolic process // inferred from electronic annotation /// 0042517 // positive regulation of tyrosine phosphorylation of Stat3 protein // inferred from electronic annotation /// 0042755 // eating behavior // inferred from electronic annotation /// 0043066 // negative regulation of apoptotic process // inferred from electronic annotation /// 0043270 // positive regulation of ion transport // inferred from electronic annotation /// 0043410 // positive regulation of MAPK cascade // inferred from electronic annotation /// 0045598 // regulation of fat cell differentiation // inferred from electronic annotation /// 0045639 // positive regulation of myeloid cell differentiation // inferred from electronic annotation /// 0045906 // negative regulation of vasoconstriction // inferred from electronic annotation /// 0046427 // positive regulation of JAK-STAT cascade // inferred from electronic annotation /// 0046628 // positive regulation of insulin receptor signaling pathway // inferred from electronic annotation /// 0046881 // positive regulation of follicle-stimulating hormone secretion // inferred from electronic annotation /// 0048639 // positive regulation of developmental growth // inferred from direct assay /// 0050796 // regulation of insulin secretion // inferred from electronic annotation /// 0050810 // regulation of steroid biosynthetic process // inferred from electronic annotation /// 0050901 // leukocyte tethering or rolling // inferred from electronic annotation /// 0060587 // regulation of lipoprotein lipid oxidation // inferred from electronic annotation /// 0060612 // adipose tissue development // inferred from electronic annotation /// 0061037 // negative regulation of cartilage development // inferred from electronic annotation /// 0070093 // negative regulation of glucagon secretion // inferred from electronic annotation /// 0071298 // cellular response to L-ascorbic acid // inferred from electronic annotation /// 0071300 // cellular response to retinoic acid // inferred from electronic annotation /// 2000366 // positive regulation of STAT protein import into nucleus // inferred from electronic annotation /// 2000486 // negative regulation of glutamine transport // inferred from electronic annotation /// 2000491 // positive regulation of hepatic stellate cell activation // inferred from electronic annotation,0005179 // hormone activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0008083 // growth factor activity // inferred from electronic annotation /// 0051428 // peptide hormone receptor binding // inferred from electronic annotation
219140_s_at,11.009412476764707,3.9335528314230768,-7.07585964534163,1.2504392241500148e-24,2.5276934227734687e-22,219140_s_at,RBP4,"retinol binding protein 4, plasma","0001523 // retinoid metabolic process // traceable author statement /// 0001654 // eye development // inferred from mutant phenotype /// 0001654 // eye development // inferred from sequence or structural similarity /// 0006094 // gluconeogenesis // inferred from mutant phenotype /// 0006094 // gluconeogenesis // inferred from sequence or structural similarity /// 0006810 // transport // inferred from electronic annotation /// 0007283 // spermatogenesis // inferred from electronic annotation /// 0007507 // heart development // inferred from sequence or structural similarity /// 0007601 // visual perception // inferred from electronic annotation /// 0007603 // phototransduction, visible light // traceable author statement /// 0008584 // male gonad development // inferred from electronic annotation /// 0009790 // embryo development // inferred from electronic annotation /// 0030277 // maintenance of gastrointestinal epithelium // inferred from direct assay /// 0030324 // lung development // inferred from sequence or structural similarity /// 0032024 // positive regulation of insulin secretion // inferred from mutant phenotype /// 0032526 // response to retinoic acid // inferred from direct assay /// 0032868 // response to insulin // inferred from electronic annotation /// 0034633 // retinol transport // inferred by curator /// 0042572 // retinol metabolic process // inferred from mutant phenotype /// 0042574 // retinal metabolic process // inferred from electronic annotation /// 0042593 // glucose homeostasis // inferred from direct assay /// 0045471 // response to ethanol // inferred from electronic annotation /// 0048562 // embryonic organ morphogenesis // inferred from sequence or structural similarity /// 0048706 // embryonic skeletal system development // inferred from sequence or structural similarity /// 0048738 // cardiac muscle tissue development // inferred from sequence or structural similarity /// 0048807 // female genitalia morphogenesis // inferred from sequence or structural similarity /// 0050896 // response to stimulus // inferred from electronic annotation /// 0050908 // detection of light stimulus involved in visual perception // inferred from electronic annotation /// 0051024 // positive regulation of immunoglobulin secretion // inferred from sequence or structural similarity /// 0060041 // retina development in camera-type eye // inferred from electronic annotation /// 0060044 // negative regulation of cardiac muscle cell proliferation // inferred from sequence or structural similarity /// 0060059 // embryonic retina morphogenesis in camera-type eye // inferred from sequence or structural similarity /// 0060065 // uterus development // inferred from sequence or structural similarity /// 0060068 // vagina development // inferred from sequence or structural similarity /// 0060157 // urinary bladder development // inferred from sequence or structural similarity /// 0060347 // heart trabecula formation // inferred from sequence or structural similarity",0005215 // transporter activity // inferred from electronic annotation /// 0005501 // retinoid binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0016918 // retinal binding // inferred from electronic annotation /// 0019841 // retinol binding // inferred from direct assay /// 0034632 // retinol transporter activity // inferred by curator /// 0036094 // small molecule binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from electronic annotation
209612_s_at,11.863514457235294,5.218610002471154,-6.64490445476414,8.114484359631702e-19,6.710309725217252e-17,209612_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",0006069 // ethanol oxidation // inferred from direct assay /// 0006069 // ethanol oxidation // traceable author statement /// 0006805 // xenobiotic metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0055114 // oxidation-reduction process // inferred from electronic annotation,"0004022 // alcohol dehydrogenase (NAD) activity // inferred from electronic annotation /// 0004024 // alcohol dehydrogenase activity, zinc-dependent // inferred from direct assay /// 0008270 // zinc ion binding // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016747 // transferase activity, transferring acyl groups other than amino-acyl groups // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
209613_s_at,11.832515501235294,5.361821659221155,-6.470693842014139,1.1862730114817183e-15,5.689419568862978e-14,209613_s_at,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",0006069 // ethanol oxidation // inferred from direct assay /// 0006069 // ethanol oxidation // traceable author statement /// 0006805 // xenobiotic metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0055114 // oxidation-reduction process // inferred from electronic annotation,"0004022 // alcohol dehydrogenase (NAD) activity // inferred from electronic annotation /// 0004024 // alcohol dehydrogenase activity, zinc-dependent // inferred from direct assay /// 0008270 // zinc ion binding // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016747 // transferase activity, transferring acyl groups other than amino-acyl groups // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
203548_s_at,11.699881792411764,5.240445633971153,-6.459436158440611,4.234751144863407e-19,3.6170341586150214e-17,203548_s_at,LPL,lipoprotein lipase,"0001523 // retinoid metabolic process // traceable author statement /// 0006629 // lipid metabolic process // inferred from electronic annotation /// 0006633 // fatty acid biosynthetic process // inferred by curator /// 0006633 // fatty acid biosynthetic process // inferred from direct assay /// 0006633 // fatty acid biosynthetic process // inferred from sequence or structural similarity /// 0006641 // triglyceride metabolic process // inferred from sequence or structural similarity /// 0006644 // phospholipid metabolic process // inferred from sequence or structural similarity /// 0007603 // phototransduction, visible light // traceable author statement /// 0009409 // response to cold // inferred from electronic annotation /// 0010744 // positive regulation of macrophage derived foam cell differentiation // inferred by curator /// 0010886 // positive regulation of cholesterol storage // inferred from mutant phenotype /// 0010890 // positive regulation of sequestering of triglyceride // inferred from mutant phenotype /// 0016042 // lipid catabolic process // inferred from electronic annotation /// 0019432 // triglyceride biosynthetic process // inferred from electronic annotation /// 0019433 // triglyceride catabolic process // inferred from direct assay /// 0019433 // triglyceride catabolic process // inferred from sequence or structural similarity /// 0034371 // chylomicron remodeling // inferred by curator /// 0034372 // very-low-density lipoprotein particle remodeling // inferred from direct assay /// 0034372 // very-low-density lipoprotein particle remodeling // inferred from sequence or structural similarity /// 0042157 // lipoprotein metabolic process // traceable author statement /// 0042493 // response to drug // inferred from electronic annotation /// 0044281 // small molecule metabolic process // traceable author statement /// 0070328 // triglyceride homeostasis // inferred from genetic interaction",0003824 // catalytic activity // inferred from electronic annotation /// 0004465 // lipoprotein lipase activity // inferred from direct assay /// 0004465 // lipoprotein lipase activity // inferred from sequence or structural similarity /// 0004620 // phospholipase activity // inferred from sequence or structural similarity /// 0004806 // triglyceride lipase activity // inferred from direct assay /// 0004806 // triglyceride lipase activity // inferred from sequence or structural similarity /// 0005102 // receptor binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0008201 // heparin binding // inferred from direct assay /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0017129 // triglyceride binding // inferred from electronic annotation /// 0034185 // apolipoprotein binding // inferred from physical interaction
209555_s_at,12.137146829882354,5.678954303490385,-6.4581925263919695,1.8702205316269683e-16,1.015669317369834e-14,209555_s_at,CD36,CD36 molecule (thrombospondin receptor),"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0001954 // positive regulation of cell-matrix adhesion // inferred from direct assay /// 0002221 // pattern recognition receptor signaling pathway // inferred from electronic annotation /// 0002224 // toll-like receptor signaling pathway // traceable author statement /// 0002474 // antigen processing and presentation of peptide antigen via MHC class I // traceable author statement /// 0002479 // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // traceable author statement /// 0002576 // platelet degranulation // traceable author statement /// 0002755 // MyD88-dependent toll-like receptor signaling pathway // traceable author statement /// 0006629 // lipid metabolic process // non-traceable author statement /// 0006810 // transport // inferred from electronic annotation /// 0006898 // receptor-mediated endocytosis // inferred from electronic annotation /// 0006898 // receptor-mediated endocytosis // inferred from mutant phenotype /// 0006898 // receptor-mediated endocytosis // traceable author statement /// 0006910 // phagocytosis, recognition // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007166 // cell surface receptor signaling pathway // inferred from electronic annotation /// 0007263 // nitric oxide mediated signal transduction // inferred from direct assay /// 0007596 // blood coagulation // traceable author statement /// 0010629 // negative regulation of gene expression // inferred from electronic annotation /// 0010744 // positive regulation of macrophage derived foam cell differentiation // inferred from mutant phenotype /// 0010886 // positive regulation of cholesterol storage // inferred from electronic annotation /// 0015911 // plasma membrane long-chain fatty acid transport // inferred from direct assay /// 0019915 // lipid storage // inferred from mutant phenotype /// 0019934 // cGMP-mediated signaling // inferred from direct assay /// 0030168 // platelet activation // traceable author statement /// 0030194 // positive regulation of blood coagulation // inferred from electronic annotation /// 0030301 // cholesterol transport // inferred from sequence or structural similarity /// 0032735 // positive regulation of interleukin-12 production // inferred from electronic annotation /// 0032755 // positive regulation of interleukin-6 production // inferred from electronic annotation /// 0032760 // positive regulation of tumor necrosis factor production // inferred from electronic annotation /// 0034134 // toll-like receptor 2 signaling pathway // traceable author statement /// 0034142 // toll-like receptor 4 signaling pathway // traceable author statement /// 0034381 // plasma lipoprotein particle clearance // inferred from sequence or structural similarity /// 0034383 // low-density lipoprotein particle clearance // inferred from mutant phenotype /// 0035634 // response to stilbenoid // inferred from electronic annotation /// 0038123 // toll-like receptor TLR1:TLR2 signaling pathway // traceable author statement /// 0038124 // toll-like receptor TLR6:TLR2 signaling pathway // traceable author statement /// 0042590 // antigen processing and presentation of exogenous peptide antigen via MHC class I // traceable author statement /// 0042953 // lipoprotein transport // inferred from mutant phenotype /// 0042953 // lipoprotein transport // traceable author statement /// 0042992 // negative regulation of transcription factor import into nucleus // inferred from electronic annotation /// 0043123 // positive regulation of I-kappaB kinase/NF-kappaB signaling // inferred from electronic annotation /// 0043277 // apoptotic cell clearance // inferred from electronic annotation /// 0043410 // positive regulation of MAPK cascade // inferred from electronic annotation /// 0044130 // negative regulation of growth of symbiont in host // inferred from electronic annotation /// 0044255 // cellular lipid metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0044539 // long-chain fatty acid import // inferred from direct assay /// 0045087 // innate immune response // traceable author statement /// 0050731 // positive regulation of peptidyl-tyrosine phosphorylation // inferred from electronic annotation /// 0050830 // defense response to Gram-positive bacterium // inferred from electronic annotation /// 0055096 // low-density lipoprotein particle mediated signaling // inferred from electronic annotation /// 0060100 // positive regulation of phagocytosis, engulfment // inferred from electronic annotation /// 0060907 // positive regulation of macrophage cytokine production // inferred from electronic annotation /// 0071221 // cellular response to bacterial lipopeptide // inferred from electronic annotation /// 0071222 // cellular response to lipopolysaccharide // inferred from electronic annotation /// 0071223 // cellular response to lipoteichoic acid // inferred from electronic annotation /// 0071447 // cellular response to hydroperoxide // inferred from electronic annotation /// 2000121 // regulation of removal of superoxide radicals // inferred from electronic annotation /// 2000334 // positive regulation of blood microparticle formation // inferred from electronic annotation /// 2000379 // positive regulation of reactive oxygen species metabolic process // inferred from electronic annotation",0005041 // low-density lipoprotein receptor activity // inferred from mutant phenotype /// 0005041 // low-density lipoprotein receptor activity // traceable author statement /// 0008035 // high-density lipoprotein particle binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from direct assay /// 0030169 // low-density lipoprotein particle binding // inferred from direct assay /// 0050431 // transforming growth factor beta binding // inferred from sequence or structural similarity /// 0070053 // thrombospondin receptor activity // inferred from sequence or structural similarity /// 0070892 // lipoteichoic acid receptor activity // inferred from electronic annotation /// 0071813 // lipoprotein particle binding // inferred from direct assay
205913_at,10.451544609411764,4.0568037006538455,-6.394740908757918,7.797927579002905e-20,7.440613449902088e-18,205913_at,PLIN1,perilipin 1,0006629 // lipid metabolic process // non-traceable author statement /// 0016042 // lipid catabolic process // inferred from electronic annotation /// 0019433 // triglyceride catabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement,0005515 // protein binding // inferred from electronic annotation /// 0008289 // lipid binding // non-traceable author statement
203980_at,12.887326062882353,6.5211251293846155,-6.366200933497738,1.9322568818850895e-13,6.607810047393878e-12,203980_at,FABP4,"fatty acid binding protein 4, adipocyte","0001816 // cytokine production // inferred from electronic annotation /// 0006469 // negative regulation of protein kinase activity // inferred from electronic annotation /// 0006810 // transport // inferred from electronic annotation /// 0019433 // triglyceride catabolic process // traceable author statement /// 0042632 // cholesterol homeostasis // inferred from electronic annotation /// 0044281 // small molecule metabolic process // traceable author statement /// 0045892 // negative regulation of transcription, DNA-templated // inferred from electronic annotation /// 0050729 // positive regulation of inflammatory response // inferred from electronic annotation /// 0050872 // white fat cell differentiation // inferred from electronic annotation /// 0050873 // brown fat cell differentiation // inferred from electronic annotation /// 0071285 // cellular response to lithium ion // inferred from electronic annotation",0005215 // transporter activity // inferred from electronic annotation /// 0005504 // fatty acid binding // traceable author statement /// 0008289 // lipid binding // inferred from electronic annotation
206488_s_at,12.055728348764706,5.712468109163462,-6.3432602396012445,4.7924932106767294e-18,3.441703775599016e-16,206488_s_at,CD36,CD36 molecule (thrombospondin receptor),"0000122 // negative regulation of transcription from RNA polymerase II promoter // inferred from electronic annotation /// 0001954 // positive regulation of cell-matrix adhesion // inferred from direct assay /// 0002221 // pattern recognition receptor signaling pathway // inferred from electronic annotation /// 0002224 // toll-like receptor signaling pathway // traceable author statement /// 0002474 // antigen processing and presentation of peptide antigen via MHC class I // traceable author statement /// 0002479 // antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent // traceable author statement /// 0002576 // platelet degranulation // traceable author statement /// 0002755 // MyD88-dependent toll-like receptor signaling pathway // traceable author statement /// 0006629 // lipid metabolic process // non-traceable author statement /// 0006810 // transport // inferred from electronic annotation /// 0006898 // receptor-mediated endocytosis // inferred from electronic annotation /// 0006898 // receptor-mediated endocytosis // inferred from mutant phenotype /// 0006898 // receptor-mediated endocytosis // traceable author statement /// 0006910 // phagocytosis, recognition // inferred from electronic annotation /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007166 // cell surface receptor signaling pathway // inferred from electronic annotation /// 0007263 // nitric oxide mediated signal transduction // inferred from direct assay /// 0007596 // blood coagulation // traceable author statement /// 0010629 // negative regulation of gene expression // inferred from electronic annotation /// 0010744 // positive regulation of macrophage derived foam cell differentiation // inferred from mutant phenotype /// 0010886 // positive regulation of cholesterol storage // inferred from electronic annotation /// 0015911 // plasma membrane long-chain fatty acid transport // inferred from direct assay /// 0019915 // lipid storage // inferred from mutant phenotype /// 0019934 // cGMP-mediated signaling // inferred from direct assay /// 0030168 // platelet activation // traceable author statement /// 0030194 // positive regulation of blood coagulation // inferred from electronic annotation /// 0030301 // cholesterol transport // inferred from sequence or structural similarity /// 0032735 // positive regulation of interleukin-12 production // inferred from electronic annotation /// 0032755 // positive regulation of interleukin-6 production // inferred from electronic annotation /// 0032760 // positive regulation of tumor necrosis factor production // inferred from electronic annotation /// 0034134 // toll-like receptor 2 signaling pathway // traceable author statement /// 0034142 // toll-like receptor 4 signaling pathway // traceable author statement /// 0034381 // plasma lipoprotein particle clearance // inferred from sequence or structural similarity /// 0034383 // low-density lipoprotein particle clearance // inferred from mutant phenotype /// 0035634 // response to stilbenoid // inferred from electronic annotation /// 0038123 // toll-like receptor TLR1:TLR2 signaling pathway // traceable author statement /// 0038124 // toll-like receptor TLR6:TLR2 signaling pathway // traceable author statement /// 0042590 // antigen processing and presentation of exogenous peptide antigen via MHC class I // traceable author statement /// 0042953 // lipoprotein transport // inferred from mutant phenotype /// 0042953 // lipoprotein transport // traceable author statement /// 0042992 // negative regulation of transcription factor import into nucleus // inferred from electronic annotation /// 0043123 // positive regulation of I-kappaB kinase/NF-kappaB signaling // inferred from electronic annotation /// 0043277 // apoptotic cell clearance // inferred from electronic annotation /// 0043410 // positive regulation of MAPK cascade // inferred from electronic annotation /// 0044130 // negative regulation of growth of symbiont in host // inferred from electronic annotation /// 0044255 // cellular lipid metabolic process // traceable author statement /// 0044281 // small molecule metabolic process // traceable author statement /// 0044539 // long-chain fatty acid import // inferred from direct assay /// 0045087 // innate immune response // traceable author statement /// 0050731 // positive regulation of peptidyl-tyrosine phosphorylation // inferred from electronic annotation /// 0050830 // defense response to Gram-positive bacterium // inferred from electronic annotation /// 0055096 // low-density lipoprotein particle mediated signaling // inferred from electronic annotation /// 0060100 // positive regulation of phagocytosis, engulfment // inferred from electronic annotation /// 0060907 // positive regulation of macrophage cytokine production // inferred from electronic annotation /// 0071221 // cellular response to bacterial lipopeptide // inferred from electronic annotation /// 0071222 // cellular response to lipopolysaccharide // inferred from electronic annotation /// 0071223 // cellular response to lipoteichoic acid // inferred from electronic annotation /// 0071447 // cellular response to hydroperoxide // inferred from electronic annotation /// 2000121 // regulation of removal of superoxide radicals // inferred from electronic annotation /// 2000334 // positive regulation of blood microparticle formation // inferred from electronic annotation /// 2000379 // positive regulation of reactive oxygen species metabolic process // inferred from electronic annotation",0005041 // low-density lipoprotein receptor activity // inferred from mutant phenotype /// 0005041 // low-density lipoprotein receptor activity // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation /// 0008035 // high-density lipoprotein particle binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from direct assay /// 0030169 // low-density lipoprotein particle binding // inferred from direct assay /// 0050431 // transforming growth factor beta binding // inferred from sequence or structural similarity /// 0070053 // thrombospondin receptor activity // inferred from sequence or structural similarity /// 0070892 // lipoteichoic acid receptor activity // inferred from electronic annotation /// 0071813 // lipoprotein particle binding // inferred from direct assay
