Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),48/85,9.46837974982538e-09,4.830767348360908e-05,0,0,3.528193116538279,65.18445464323189,COX7B;NDUFB8;NDUFA11;NDUFB6;UQCRB;NDUFA12;COX15;NDUFB5;COX4I1;COX4I2;NDUFA10;NDUFB3;ETFDH;NDUFB1;ETFA;COX7A2;UQCR11;ETFB;MTFR1L;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;BLOC1S1;UQCRFS1;ME3;NDUFV3;NDUFV2;PPARGC1A;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;SDHA;SDHB;SIRT3;OXA1L;NR4A3;NDUFS4;LYRM7;NDUFS3;NDUFS1;UQCRC2
GO_Biological_Process_2023,Regulation Of Focal Adhesion Assembly (GO:0051893),34/54,3.3472725266695946e-08,8.538892215534136e-05,0,0,4.616728763040238,79.46560496170878,ACVRL1;MACF1;ROCK1;ROCK2;FAM107A;PTEN;EFNA5;ARHGAP6;THBS1;PPM1F;CORO1C;APOD;FYN;CLASP1;CLASP2;MAP4K4;S100A10;DUSP3;DMTN;MYOC;LIMCH1;RHOA;DUSP22;SFRP1;PEAK1;PTPRA;ITGB1BP1;TEK;TLN1;PHLDB2;EPHA3;VCL;FERMT2;LIMS1
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),38/68,4.666346991263984e-07,0.0007935900783142947,0,0,3.4401193139448174,50.14909307812356,COX7B;NDUFB8;NDUFB6;UQCRB;COX15;NDUFB5;COX4I1;COX4I2;NDUFA10;NDUFB3;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS4;NDUFS3;SLC25A51;NDUFS1;UQCRC2;NDUFAF1
GO_Biological_Process_2023,Fatty Acid Oxidation (GO:0019395),31/52,7.784247146475691e-07,0.0009928807235329744,0,0,4.00641008591111,56.35413845113378,ABCD4;ABCD2;ACAA2;ECHS1;ECI2;HSD17B4;ADH7;ADIPOR2;ADH5;ACAT1;ADH4;AUH;CPT2;SCP2;CYP4V2;HACL1;ACADM;ACAA1;ACAD11;ACADS;HAO2;PPARGC1A;DECR1;PHYH;ADIPOQ;HADHB;HADHA;BDH2;ACOX1;EHHADH;ECHDC1
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),38/70,1.245033829437172e-06,0.0012704325195576,0,0,3.224669090231171,43.84372267184826,COX7B;NDUFB8;NDUFB6;UQCRB;NDUFA12;COX15;NDUFB5;COX4I1;COX4I2;NDUFA10;NDUFB3;NDUFB1;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;NDUFV3;NDUFV2;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;SDHC;SDHD;SDHA;SDHB;NDUFS4;NDUFS3;NDUFS1;UQCRC2;NDUFAF1
GO_Biological_Process_2023,Fatty Acid Catabolic Process (GO:0009062),33/61,6.801616604849207e-06,0.0057836413196567,0,0,3.1983210494106378,38.05474401955047,ABCD4;ABCD2;ACAA2;ECHS1;ECI2;ABHD1;HSD17B4;ACAT1;MCEE;ACADL;AUH;CPT2;SCP2;HACL1;ACADM;ACAA1;ACAD11;ACADS;HAO2;DECR1;PHYH;ADIPOQ;AIG1;HADHB;HADHA;NUDT7;BDH2;PCCA;ACOX1;EHHADH;PCCB;ECHDC1;LPIN1
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),64/146,8.43670144568473e-06,0.0061491501108404,0,0,2.122435551818988,24.796242952390475,ACHE;THRA;DOCK7;OXT;DBH;RBPJ;ADAMTS5;FLCN;ACADL;CPT2;LEPR;FFAR4;CD36;JAK2;CMKLR1;ACSL1;ADIPOQ;ARRDC3;ELOVL3;TFE3;ACOT13;EBF2;ELOVL6;PTH2R;CNKSR2;HADHA;IRF4;LGALS13;ALDH1A1;TLR4;FOXC2;CEBPB;FH;EPAS1;LAMA4;NPR3;ADRB1;ADRB2;ADIPOR2;PDGFC;PRDM16;ZNF423;PPARGC1A;DECR1;WNT10B;DYNC1H1;CAV1;PLCL1;PLCL2;CIDEA;G0S2;NR1H3;LNPEP;GATM;FABP4;APC;FABP5;NOVA1;SCD;LEP;NOVA2;ID1;GNAS;LPIN1
GO_Biological_Process_2023,Regulation Of Cell-Substrate Junction Assembly (GO:0090109),15/21,2.7867324157299052e-05,0.015482388134691,0,0,6.7718581770930015,71.02362597501138,MACF1;DUSP3;ROCK1;LIMCH1;ROCK2;EFNA5;RHOA;CORO1C;PEAK1;PTPRA;FYN;TLN1;CLASP1;EPHA3;VCL
GO_Biological_Process_2023,Fatty Acid Beta-Oxidation (GO:0006635),27/49,2.972818772022083e-05,0.015482388134691,0,0,3.328135306553911,34.690535079516046,ABCD4;ABCD2;ACADVL;ACAA2;ECHS1;ECI2;ETFDH;HSD17B4;ETFA;ETFB;ACAT1;ACADL;AUH;CPT2;SCP2;ACADM;ACAA1;ACAD11;ACADS;DECR1;ADIPOQ;HADHB;HADHA;BDH2;ACOX1;EHHADH;ECHDC1
GO_Biological_Process_2023,Cellular Response To Hormone Stimulus (GO:0032870),44/94,3.034572350978262e-05,0.015482388134691,0,0,2.3893691675998507,24.85626088726234,RAMP2;URI1;THRB;AKR1B1;ATP1A2;NR3C1;TFPI;CTSS;UBE2L3;SLC5A5;GHR;SOCS2;CRHBP;SFR1;CTSL;CYP11A1;GPER1;FFAR4;INPP5K;SLIT2;GAS2L1;NCOA1;STAT5B;LHCGR;MEF2C;GNRHR2;AKR1C1;CAV1;LMO2;NCOA4;RDX;AKR1C3;AKR1C2;AVPR1A;AKR1C4;ESR2;HCRTR2;HCRTR1;SFRP1;NR4A3;PAX8;CYP11B2;LEP;KLF9
