ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value,ID,Gene Symbol,Gene Title,Gene Ontology Biological Process,Gene Ontology Molecular Function
1007_s_at,5.143416552529411,7.521487046105768,2.378070493576357,1.0546561550837376e-14,4.3806756688215613e-13,1007_s_at,DDR1 /// MIR4640,discoidin domain receptor tyrosine kinase 1 /// microRNA 4640,"0001558 // regulation of cell growth // inferred from electronic annotation /// 0001952 // regulation of cell-matrix adhesion // inferred from electronic annotation /// 0006468 // protein phosphorylation // inferred from electronic annotation /// 0007155 // cell adhesion // traceable author statement /// 0007169 // transmembrane receptor protein tyrosine kinase signaling pathway // inferred from electronic annotation /// 0007565 // female pregnancy // inferred from electronic annotation /// 0007566 // embryo implantation // inferred from electronic annotation /// 0007595 // lactation // inferred from electronic annotation /// 0008285 // negative regulation of cell proliferation // inferred from electronic annotation /// 0010715 // regulation of extracellular matrix disassembly // inferred from mutant phenotype /// 0014909 // smooth muscle cell migration // inferred from mutant phenotype /// 0016310 // phosphorylation // inferred from electronic annotation /// 0018108 // peptidyl-tyrosine phosphorylation // inferred from electronic annotation /// 0030198 // extracellular matrix organization // traceable author statement /// 0038063 // collagen-activated tyrosine kinase receptor signaling pathway // inferred from direct assay /// 0038063 // collagen-activated tyrosine kinase receptor signaling pathway // inferred from mutant phenotype /// 0038083 // peptidyl-tyrosine autophosphorylation // inferred from direct assay /// 0043583 // ear development // inferred from electronic annotation /// 0044319 // wound healing, spreading of cells // inferred from mutant phenotype /// 0046777 // protein autophosphorylation // inferred from direct assay /// 0060444 // branching involved in mammary gland duct morphogenesis // inferred from electronic annotation /// 0060749 // mammary gland alveolus development // inferred from electronic annotation /// 0061302 // smooth muscle cell-matrix adhesion // inferred from mutant phenotype","0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004714 // transmembrane receptor protein tyrosine kinase activity // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0005518 // collagen binding // inferred from direct assay /// 0005518 // collagen binding // inferred from mutant phenotype /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016772 // transferase activity, transferring phosphorus-containing groups // inferred from electronic annotation /// 0038062 // protein tyrosine kinase collagen receptor activity // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
1552257_a_at,5.755459509882352,7.229759544153846,1.4743000342714936,4.4171941422431445e-07,4.789154530979113e-06,1552257_a_at,TTLL12,"tubulin tyrosine ligase-like family, member 12",0006464 // cellular protein modification process // inferred from electronic annotation,
1552287_s_at,4.448450037470588,5.839162533115386,1.3907124956447978,8.072356514576786e-09,1.2228175026619106e-07,1552287_s_at,AFG3L1P,"AFG3-like AAA ATPase 1, pseudogene",0006508 // proteolysis // inferred from electronic annotation,0004222 // metalloendopeptidase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008237 // metallopeptidase activity // inferred from electronic annotation
1552309_a_at,5.806621399117647,3.7726452916826925,-2.0339761074349547,1.8997502121837043e-13,6.5088805292388195e-12,1552309_a_at,NEXN,nexilin (F actin binding protein),0006468 // protein phosphorylation // not recorded /// 0030334 // regulation of cell migration // inferred from direct assay /// 0042981 // regulation of apoptotic process // not recorded /// 0048739 // cardiac muscle fiber development // not recorded /// 0051493 // regulation of cytoskeleton organization // inferred from expression pattern,0003779 // actin binding // inferred from electronic annotation /// 0004683 // calmodulin-dependent protein kinase activity // not recorded /// 0005515 // protein binding // inferred from electronic annotation /// 0008307 // structural constituent of muscle // inferred from mutant phenotype /// 0051015 // actin filament binding // inferred from direct assay
1552310_at,6.906119776470588,5.709467770769231,-1.196652005701357,7.535800990171028e-06,6.292785836024244e-05,1552310_at,C15orf40,chromosome 15 open reading frame 40,,
1552316_a_at,7.678459325294117,6.310534024105769,-1.3679253011883485,0.00033269594915517924,0.0018595199394716364,1552316_a_at,GIMAP1,"GTPase, IMAP family member 1","0001659 // temperature homeostasis // inferred from electronic annotation /// 0002729 // positive regulation of natural killer cell cytokine production // inferred from electronic annotation /// 0002925 // positive regulation of humoral immune response mediated by circulating immunoglobulin // inferred from electronic annotation /// 0010524 // positive regulation of calcium ion transport into cytosol // inferred from electronic annotation /// 0030183 // B cell differentiation // inferred from electronic annotation /// 0030217 // T cell differentiation // inferred from electronic annotation /// 0032689 // negative regulation of interferon-gamma production // inferred from electronic annotation /// 0032831 // positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation // inferred from electronic annotation /// 0043011 // myeloid dendritic cell differentiation // inferred from electronic annotation /// 0043029 // T cell homeostasis // inferred from electronic annotation /// 0043066 // negative regulation of apoptotic process // inferred from electronic annotation /// 0045019 // negative regulation of nitric oxide biosynthetic process // inferred from electronic annotation /// 0045588 // positive regulation of gamma-delta T cell differentiation // inferred from electronic annotation /// 0045838 // positive regulation of membrane potential // inferred from electronic annotation /// 0045954 // positive regulation of natural killer cell mediated cytotoxicity // inferred from electronic annotation /// 0046902 // regulation of mitochondrial membrane permeability // inferred from electronic annotation /// 0050868 // negative regulation of T cell activation // inferred from electronic annotation /// 0050995 // negative regulation of lipid catabolic process // inferred from electronic annotation",0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
1552318_at,3.668781615588235,2.624335914028846,-1.0444457015593893,2.602036390306741e-11,6.228795795901387e-10,1552318_at,GIMAP1,"GTPase, IMAP family member 1","0001659 // temperature homeostasis // inferred from electronic annotation /// 0002729 // positive regulation of natural killer cell cytokine production // inferred from electronic annotation /// 0002925 // positive regulation of humoral immune response mediated by circulating immunoglobulin // inferred from electronic annotation /// 0010524 // positive regulation of calcium ion transport into cytosol // inferred from electronic annotation /// 0030183 // B cell differentiation // inferred from electronic annotation /// 0030217 // T cell differentiation // inferred from electronic annotation /// 0032689 // negative regulation of interferon-gamma production // inferred from electronic annotation /// 0032831 // positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation // inferred from electronic annotation /// 0043011 // myeloid dendritic cell differentiation // inferred from electronic annotation /// 0043029 // T cell homeostasis // inferred from electronic annotation /// 0043066 // negative regulation of apoptotic process // inferred from electronic annotation /// 0045019 // negative regulation of nitric oxide biosynthetic process // inferred from electronic annotation /// 0045588 // positive regulation of gamma-delta T cell differentiation // inferred from electronic annotation /// 0045838 // positive regulation of membrane potential // inferred from electronic annotation /// 0045954 // positive regulation of natural killer cell mediated cytotoxicity // inferred from electronic annotation /// 0046902 // regulation of mitochondrial membrane permeability // inferred from electronic annotation /// 0050868 // negative regulation of T cell activation // inferred from electronic annotation /// 0050995 // negative regulation of lipid catabolic process // inferred from electronic annotation",0000166 // nucleotide binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation
1552343_s_at,4.211072370235295,5.261272738384616,1.050200368149321,1.302196065563058e-05,0.0001036496413334784,1552343_s_at,PDE7A,phosphodiesterase 7A,0006198 // cAMP catabolic process // inferred from electronic annotation /// 0007165 // signal transduction // inferred from electronic annotation /// 0008152 // metabolic process // inferred from electronic annotation,"0003824 // catalytic activity // inferred from electronic annotation /// 0004114 // 3',5'-cyclic-nucleotide phosphodiesterase activity // inferred from electronic annotation /// 0004115 // 3',5'-cyclic-AMP phosphodiesterase activity // inferred from direct assay /// 0004115 // 3',5'-cyclic-AMP phosphodiesterase activity // traceable author statement /// 0008081 // phosphoric diester hydrolase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
1552365_at,4.9518328885882354,3.814119397567308,-1.1377134910209277,0.012546468944751978,0.04200104679410003,1552365_at,SCIN,scinderin,0008285 // negative regulation of cell proliferation // inferred from mutant phenotype /// 0017156 // calcium ion-dependent exocytosis // inferred from sequence or structural similarity /// 0032330 // regulation of chondrocyte differentiation // inferred from sequence or structural similarity /// 0043065 // positive regulation of apoptotic process // inferred from mutant phenotype /// 0045010 // actin nucleation // inferred from sequence or structural similarity /// 0045654 // positive regulation of megakaryocyte differentiation // inferred from mutant phenotype /// 0051014 // actin filament severing // inferred from mutant phenotype /// 0051047 // positive regulation of secretion // inferred from sequence or structural similarity /// 0051693 // actin filament capping // inferred from electronic annotation,"0001786 // phosphatidylserine binding // inferred from sequence or structural similarity /// 0003779 // actin binding // inferred from sequence or structural similarity /// 0003779 // actin binding // traceable author statement /// 0005509 // calcium ion binding // inferred from sequence or structural similarity /// 0005509 // calcium ion binding // traceable author statement /// 0005545 // 1-phosphatidylinositol binding // traceable author statement /// 0005546 // phosphatidylinositol-4,5-bisphosphate binding // inferred from sequence or structural similarity /// 0051015 // actin filament binding // inferred from sequence or structural similarity"
1552477_a_at,3.105720526235294,5.1067909337596165,2.0010704075243226,3.285942422067133e-08,4.4679484667165435e-07,1552477_a_at,IRF6,interferon regulatory factor 6,"0006351 // transcription, DNA-templated // inferred from electronic annotation /// 0006355 // regulation of transcription, DNA-templated // inferred from electronic annotation /// 0007050 // cell cycle arrest // inferred from direct assay /// 0008285 // negative regulation of cell proliferation // inferred from direct assay /// 0019221 // cytokine-mediated signaling pathway // traceable author statement /// 0030154 // cell differentiation // inferred from electronic annotation /// 0030216 // keratinocyte differentiation // inferred from electronic annotation /// 0043588 // skin development // inferred from electronic annotation /// 0043616 // keratinocyte proliferation // inferred from electronic annotation /// 0045893 // positive regulation of transcription, DNA-templated // inferred from sequence or structural similarity /// 0048468 // cell development // inferred from electronic annotation /// 0060333 // interferon-gamma-mediated signaling pathway // traceable author statement /// 0060337 // type I interferon signaling pathway // traceable author statement /// 0060644 // mammary gland epithelial cell differentiation // inferred from sequence or structural similarity",0000975 // regulatory region DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003700 // sequence-specific DNA binding transcription factor activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction
