ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
1007_s_at,5.143416552529411,7.521487046105768,2.378070493576357,1.0546561550837376e-14,4.3806756688215613e-13
1552257_a_at,5.755459509882352,7.229759544153846,1.4743000342714936,4.4171941422431445e-07,4.789154530979113e-06
1552287_s_at,4.448450037470588,5.839162533115386,1.3907124956447978,8.072356514576786e-09,1.2228175026619106e-07
1552309_a_at,5.806621399117647,3.7726452916826925,-2.0339761074349547,1.8997502121837043e-13,6.5088805292388195e-12
1552310_at,6.906119776470588,5.709467770769231,-1.196652005701357,7.535800990171028e-06,6.292785836024244e-05
1552316_a_at,7.678459325294117,6.310534024105769,-1.3679253011883485,0.00033269594915517924,0.0018595199394716364
1552318_at,3.668781615588235,2.624335914028846,-1.0444457015593893,2.602036390306741e-11,6.228795795901387e-10
1552343_s_at,4.211072370235295,5.261272738384616,1.050200368149321,1.302196065563058e-05,0.0001036496413334784
1552365_at,4.9518328885882354,3.814119397567308,-1.1377134910209277,0.012546468944751978,0.04200104679410003
1552477_a_at,3.105720526235294,5.1067909337596165,2.0010704075243226,3.285942422067133e-08,4.4679484667165435e-07
1552482_at,3.8954867443529406,5.252156731173077,1.3566699868201364,3.870840051265586e-06,3.4373005248837915e-05
1552507_at,4.2659668260000005,5.851635464201923,1.5856686382019225,0.0072247614006420045,0.02655534059435921
1552509_a_at,7.415680501588235,2.855392952875,-4.5602875487132355,5.468611255475483e-26,1.3691345583146625e-23
1552519_at,8.453281079705881,2.6231445582115382,-5.830136521494343,1.4934831638495655e-36,3.1351083692209785e-33
1552536_at,4.151907222764706,6.044518458673077,1.8926112359083715,9.683071799069093e-11,2.097191967148381e-09
1552575_a_at,2.499414838647059,3.5224333752115387,1.0230185365644795,0.008468904727161275,0.030291916318483207
1552610_a_at,6.195416351588236,4.5677618253557695,-1.6276545262324662,2.7072553871321763e-13,9.031741550995541e-12
1552615_at,7.290621932117647,4.731630941346154,-2.558990990771493,5.021705444923892e-29,2.0453706080485158e-26
1552616_a_at,5.675240052117647,2.426235649653846,-3.2490044024638007,6.5279783648881e-30,3.1811654569395324e-27
1552621_at,5.3039131714705885,7.080355675528846,1.7764425040582577,5.2149542507895293e-14,1.971101025303613e-12
1552622_s_at,4.137095724352942,6.241318182346154,2.1042224579932123,1.2229787652258645e-14,5.030064659175769e-13
1552701_a_at,7.261180199,6.108544959480769,-1.1526352395192312,0.0006145227385073889,0.0031824685971149802
1552703_s_at,5.885320071411765,4.629510955721154,-1.255809115690611,0.000391941455521262,0.0021451837846866184
1552719_at,3.5458513165294114,4.642632781346153,1.0967814648167415,4.810934921947968e-06,4.188483284495105e-05
1552721_a_at,3.891092503294118,2.3609974614615385,-1.5300950418325794,1.0599288465871434e-21,1.3741058555315844e-19
1552724_at,4.941449596411765,2.545265703557692,-2.3961838928540726,5.681223761069702e-26,1.4158699162348093e-23
1552733_at,7.127107323941176,6.043851302605769,-1.0832560213354068,3.2714031642339355e-05,0.00023614589776580343
1552735_at,3.7621652369411764,5.019001953259616,1.25683671631844,0.00012102702250482447,0.0007595186686548021
