ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value,ID,Gene Symbol,Gene Title,Gene Ontology Biological Process,Gene Ontology Molecular Function
201650_at,6.287652527235294,11.739672639942306,5.452020112707012,2.3953583607852353e-16,1.2792198040440054e-14,201650_at,KRT19,keratin 19,0016032 // viral process // inferred from electronic annotation /// 0019048 // modulation by virus of host morphology or physiology // inferred from electronic annotation /// 0043627 // response to estrogen // inferred from expression pattern /// 0045214 // sarcomere organization // inferred from direct assay /// 0060706 // cell differentiation involved in embryonic placenta development // inferred from electronic annotation,0005198 // structural molecule activity // inferred from electronic annotation /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008307 // structural constituent of muscle // inferred from direct assay /// 0032403 // protein complex binding // inferred from electronic annotation
37892_at,3.6012802195882356,8.978259690769232,5.376979471180996,1.907838294070313e-14,7.656463695004678e-13,37892_at,COL11A1,"collagen, type XI, alpha 1",0001502 // cartilage condensation // inferred from electronic annotation /// 0002063 // chondrocyte development // inferred from electronic annotation /// 0003007 // heart morphogenesis // inferred from electronic annotation /// 0006029 // proteoglycan metabolic process // inferred from electronic annotation /// 0007601 // visual perception // inferred from mutant phenotype /// 0007605 // sensory perception of sound // inferred from mutant phenotype /// 0022617 // extracellular matrix disassembly // traceable author statement /// 0030198 // extracellular matrix organization // non-traceable author statement /// 0030198 // extracellular matrix organization // traceable author statement /// 0030199 // collagen fibril organization // non-traceable author statement /// 0030574 // collagen catabolic process // traceable author statement /// 0035989 // tendon development // inferred from electronic annotation /// 0042472 // inner ear morphogenesis // inferred from electronic annotation /// 0048704 // embryonic skeletal system morphogenesis // inferred from electronic annotation /// 0048705 // skeletal system morphogenesis // inferred from electronic annotation /// 0050910 // detection of mechanical stimulus involved in sensory perception of sound // inferred from mutant phenotype /// 0051216 // cartilage development // inferred from electronic annotation /// 0055010 // ventricular cardiac muscle tissue morphogenesis // inferred from electronic annotation,"0005201 // extracellular matrix structural constituent // non-traceable author statement /// 0030674 // protein binding, bridging // non-traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation /// 0050840 // extracellular matrix binding // non-traceable author statement"
232165_at,3.8408286490588237,9.124153837576923,5.283325188518099,2.0067105642555828e-19,1.803607634355658e-17,232165_at,EPPK1,epiplakin 1,,0044822 // poly(A) RNA binding // inferred from direct assay
201839_s_at,6.767673204941176,11.924118002557693,5.156444797616516,4.1437624082439964e-22,5.843989883192483e-20,201839_s_at,EPCAM,epithelial cell adhesion molecule,0001657 // ureteric bud development // inferred from electronic annotation /// 0008284 // positive regulation of cell proliferation // inferred from direct assay /// 0023019 // signal transduction involved in regulation of gene expression // inferred from mutant phenotype /// 0045944 // positive regulation of transcription from RNA polymerase II promoter // inferred from direct assay /// 0048863 // stem cell differentiation // inferred from mutant phenotype /// 2000048 // negative regulation of cell-cell adhesion mediated by cadherin // inferred from direct assay /// 2000648 // positive regulation of stem cell proliferation // inferred from mutant phenotype,0005515 // protein binding // inferred from physical interaction /// 0032403 // protein complex binding // inferred from direct assay
232164_s_at,4.175217414352941,9.211905585240386,5.0366881708874445,3.817544978979399e-18,2.785531917215463e-16,232164_s_at,EPPK1,epiplakin 1,,0044822 // poly(A) RNA binding // inferred from direct assay
200606_at,5.497520539941177,10.475321149028847,4.97780060908767,6.3905043160767056e-27,1.855251782272077e-24,200606_at,DSP,desmoplakin,0002934 // desmosome organization // inferred from sequence or structural similarity /// 0003223 // ventricular compact myocardium morphogenesis // inferred from sequence or structural similarity /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0008544 // epidermis development // traceable author statement /// 0016337 // single organismal cell-cell adhesion // inferred from electronic annotation /// 0018149 // peptide cross-linking // inferred from direct assay /// 0030216 // keratinocyte differentiation // inferred from direct assay /// 0034332 // adherens junction organization // inferred from electronic annotation /// 0042060 // wound healing // inferred from electronic annotation /// 0043588 // skin development // inferred from electronic annotation /// 0045104 // intermediate filament cytoskeleton organization // inferred from electronic annotation /// 0045109 // intermediate filament organization // inferred from sequence or structural similarity /// 0071896 // protein localization to adherens junction // inferred from sequence or structural similarity /// 0086005 // ventricular cardiac muscle cell action potential // inferred from mutant phenotype /// 0086069 // bundle of His cell to Purkinje myocyte communication // inferred from mutant phenotype /// 0086091 // regulation of heart rate by cardiac conduction // inferred from mutant phenotype,"0005080 // protein kinase C binding // inferred from physical interaction /// 0005198 // structural molecule activity // inferred from direct assay /// 0005200 // structural constituent of cytoskeleton // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0030674 // protein binding, bridging // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0050839 // cell adhesion molecule binding // inferred from electronic annotation /// 0097110 // scaffold protein binding // inferred from physical interaction"
204320_at,3.31972553,8.261705979442308,4.941980449442308,2.867488043018551e-14,1.1235077523324442e-12,204320_at,COL11A1,"collagen, type XI, alpha 1",0001502 // cartilage condensation // inferred from electronic annotation /// 0002063 // chondrocyte development // inferred from electronic annotation /// 0003007 // heart morphogenesis // inferred from electronic annotation /// 0006029 // proteoglycan metabolic process // inferred from electronic annotation /// 0007601 // visual perception // inferred from mutant phenotype /// 0007605 // sensory perception of sound // inferred from mutant phenotype /// 0022617 // extracellular matrix disassembly // traceable author statement /// 0030198 // extracellular matrix organization // non-traceable author statement /// 0030198 // extracellular matrix organization // traceable author statement /// 0030199 // collagen fibril organization // non-traceable author statement /// 0030574 // collagen catabolic process // traceable author statement /// 0035989 // tendon development // inferred from electronic annotation /// 0042472 // inner ear morphogenesis // inferred from electronic annotation /// 0048704 // embryonic skeletal system morphogenesis // inferred from electronic annotation /// 0048705 // skeletal system morphogenesis // inferred from electronic annotation /// 0050910 // detection of mechanical stimulus involved in sensory perception of sound // inferred from mutant phenotype /// 0051216 // cartilage development // inferred from electronic annotation /// 0055010 // ventricular cardiac muscle tissue morphogenesis // inferred from electronic annotation,"0005201 // extracellular matrix structural constituent // non-traceable author statement /// 0030674 // protein binding, bridging // non-traceable author statement /// 0046872 // metal ion binding // inferred from electronic annotation /// 0050840 // extracellular matrix binding // non-traceable author statement"
201596_x_at,6.045156859470588,10.968937458298077,4.92378059882749,1.2608359087740525e-19,1.176327573760325e-17,201596_x_at,KRT18,keratin 18,0006915 // apoptotic process // inferred from electronic annotation /// 0007049 // cell cycle // inferred from electronic annotation /// 0009653 // anatomical structure morphogenesis // traceable author statement /// 0016032 // viral process // inferred from electronic annotation /// 0019048 // modulation by virus of host morphology or physiology // inferred from electronic annotation /// 0033209 // tumor necrosis factor-mediated signaling pathway // inferred from electronic annotation /// 0043000 // Golgi to plasma membrane CFTR protein transport // inferred from direct assay /// 0043066 // negative regulation of apoptotic process // inferred from direct assay /// 0045104 // intermediate filament cytoskeleton organization // inferred from direct assay /// 0097191 // extrinsic apoptotic signaling pathway // inferred from electronic annotation /// 0097284 // hepatocyte apoptotic process // inferred from electronic annotation,0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0097110 // scaffold protein binding // inferred from physical interaction
225846_at,4.276231148411765,9.171065472528845,4.89483432411708,1.0026636918243945e-25,2.379320940699288e-23,225846_at,ESRP1,epithelial splicing regulatory protein 1,0006397 // mRNA processing // inferred from electronic annotation /// 0008380 // RNA splicing // inferred from electronic annotation /// 0043484 // regulation of RNA splicing // inferred from direct assay,0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003729 // mRNA binding // inferred from direct assay
201131_s_at,6.035072260647059,10.926179425528847,4.891107164881788,1.4334516478548046e-19,1.323796234996064e-17,201131_s_at,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)","0001701 // in utero embryonic development // inferred from electronic annotation /// 0001829 // trophectodermal cell differentiation // inferred from electronic annotation /// 0003382 // epithelial cell morphogenesis // inferred from electronic annotation /// 0006915 // apoptotic process // traceable author statement /// 0006921 // cellular component disassembly involved in execution phase of apoptosis // traceable author statement /// 0007155 // cell adhesion // inferred from electronic annotation /// 0007156 // homophilic cell adhesion // non-traceable author statement /// 0007416 // synapse assembly // inferred from electronic annotation /// 0007605 // sensory perception of sound // inferred from electronic annotation /// 0009636 // response to toxic substance // inferred from electronic annotation /// 0010033 // response to organic substance // inferred from electronic annotation /// 0016337 // single organismal cell-cell adhesion // inferred from direct assay /// 0019538 // protein metabolic process // inferred from electronic annotation /// 0021983 // pituitary gland development // inferred from electronic annotation /// 0022408 // negative regulation of cell-cell adhesion // inferred from mutant phenotype /// 0022617 // extracellular matrix disassembly // traceable author statement /// 0030198 // extracellular matrix organization // traceable author statement /// 0031175 // neuron projection development // inferred from electronic annotation /// 0032880 // regulation of protein localization // inferred from electronic annotation /// 0033561 // regulation of water loss via skin // inferred from electronic annotation /// 0034329 // cell junction assembly // traceable author statement /// 0034332 // adherens junction organization // traceable author statement /// 0042493 // response to drug // inferred from electronic annotation /// 0042993 // positive regulation of transcription factor import into nucleus // inferred from direct assay /// 0043281 // regulation of cysteine-type endopeptidase activity involved in apoptotic process // inferred from electronic annotation /// 0045216 // cell-cell junction organization // traceable author statement /// 0045893 // positive regulation of transcription, DNA-templated // inferred from direct assay /// 0050680 // negative regulation of epithelial cell proliferation // inferred from electronic annotation /// 0050776 // regulation of immune response // traceable author statement /// 0051260 // protein homooligomerization // inferred from electronic annotation /// 0060576 // intestinal epithelial cell development // inferred from electronic annotation /// 0060662 // salivary gland cavitation // inferred from electronic annotation /// 0060693 // regulation of branching involved in salivary gland morphogenesis // inferred from electronic annotation /// 0070830 // tight junction assembly // inferred from electronic annotation /// 0071230 // cellular response to amino acid stimulus // inferred from electronic annotation /// 0071285 // cellular response to lithium ion // inferred from direct assay /// 0071681 // cellular response to indole-3-methanol // inferred from direct assay /// 0072659 // protein localization to plasma membrane // inferred from direct assay /// 0090002 // establishment of protein localization to plasma membrane // inferred from mutant phenotype /// 0090090 // negative regulation of canonical Wnt signaling pathway // inferred from electronic annotation /// 0090102 // cochlea development // inferred from electronic annotation /// 2000008 // regulation of protein localization to cell surface // inferred from electronic annotation",0001948 // glycoprotein binding // inferred from physical interaction /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008013 // beta-catenin binding // inferred from direct assay /// 0019903 // protein phosphatase binding // inferred from electronic annotation /// 0019904 // protein domain specific binding // inferred from electronic annotation /// 0030506 // ankyrin binding // inferred from physical interaction /// 0032794 // GTPase activating protein binding // inferred from physical interaction /// 0045295 // gamma-catenin binding // inferred from physical interaction /// 0046872 // metal ion binding // inferred from electronic annotation /// 0050839 // cell adhesion molecule binding // non-traceable author statement
